FundTicker,SecurityNum,HoldingsTicker,Shares,MarketValue,Weight,Name,Sector,Date
ADRD,04351P101,ASND ,328,"12,785.44",0.018,Ascendis Pharma A/S ADR,Health Care,01/04/2018
ADRD,000375204,ABB ,"31,677","869,533.65",1.196,ABB Ltd ADR,Industrials,01/04/2018
ADRD,759530108,RELX ,"17,471","413,538.57",0.569,RELX PLC ADR,Industrials,01/04/2018
ADRD,75955B102,RENX ,"16,692","384,416.76",0.529,RELX NV ADR,Industrials,01/04/2018
ADRD,783513203,RYAAY ,"1,961","211,552.68",0.291,Ryanair Holdings PLC ADR,Industrials,01/04/2018
ADRD,803054204,SAP ,"16,336","1,879,456.8",2.586,SAP SE ADR,Information Technology,01/04/2018
ADRD,N07059210,ASML ,"7,083","1,280,252.25",1.761,ASML Holding NV,Information Technology,01/04/2018
ADRD,138006309,CAJ ,"17,954","686,022.34",0.944,Canon Inc ADR,Information Technology,01/04/2018
ADRD,654902204,NOK ,"95,798","468,452.22",0.644,Nokia OYJ ADR,Information Technology,01/04/2018
ADRD,501556203,KYO ,"5,827","402,878.78",0.554,Kyocera Corp ADR,Information Technology,01/04/2018
ADRD,294821608,ERIC ,"49,959","337,722.84",0.465,Telefonaktiebolaget LM Ericsson ADR,Information Technology,01/04/2018
ADRD,861012102,STM ,"10,909","255,379.69",0.351,STMicroelectronics NV,Information Technology,01/04/2018
ADRD,653656108,NICE ,997,"92,401.96",0.127,Nice Ltd ADR,Information Technology,01/04/2018
ADRD,H50430232,LOGI ,"2,671","91,241.36",0.126,Logitech International SA,Information Technology,01/04/2018
ADRD,53567X101,LN ,731,"31,805.81",0.044,LINE Corp ADR,Information Technology,01/04/2018
ADRD,226718104,CRTO ,"1,083","28,006.38",0.039,Criteo SA ADR,Information Technology,01/04/2018
ADRD,874224207,TLND ,297,"11,624.58",0.016,Talend SA ADR,Information Technology,01/04/2018
ADRD,088606108,BHP ,"26,341","1,259,099.8",1.732,BHP Billiton Ltd ADR,Materials,01/04/2018
ADRD,767204100,RIO ,"19,637","1,074,143.9",1.478,Rio Tinto PLC ADR,Materials,01/04/2018
ADRD,05545E209,BBL ,"17,336","730,712.4",1.005,BHP Billiton PLC ADR,Materials,01/04/2018
ADRD,12626K203,CRH ,"13,622","511,506.1",0.704,CRH PLC ADR,Materials,01/04/2018
ADRD,03938L203,MT ,"10,338","357,281.28",0.492,ArcelorMittal,Materials,01/04/2018
ADRD,752344309,GOLD ,"1,540","151,043.2",0.208,Randgold Resources Ltd ADR,Materials,01/04/2018
ADRD,92857W308,VOD ,"43,514","1,405,937.34",1.934,Vodafone Group PLC ADR,Telecommunication Services,01/04/2018
ADRD,879382208,TEF ,"75,007","747,819.79",1.029,Telefonica SA ADR,Telecommunication Services,01/04/2018
ADRD,684060106,ORAN ,"35,219","617,389.07",0.849,Orange SA ADR,Telecommunication Services,01/04/2018
ADRD,05577E101,BT ,"27,164","499,545.96",0.687,BT Group PLC ADR,Telecommunication Services,01/04/2018
ADRD,62942M201,DCM ,"20,485","493,483.65",0.679,NTT DOCOMO Inc ADR,Telecommunication Services,01/04/2018
ADRD,87927Y102,TI ,"18,968","168,625.52",0.232,Telecom Italia SpA/Milano ADR,Telecommunication Services,01/04/2018
ADRD,636274409,NGG ,"11,856","688,833.6",0.948,National Grid PLC ADR,Utilities,01/04/2018
